Reaction_ID	Class
R0379	F
R0602	C
R1045	C
R1148	C
R0408	F
R0626	F
R1071	F
R1072	F
R1543	F
R0943	GK
R0041	F
R1426	Biomass
R1428	Biomass
R1461	Biomass
R1473	Biomass
R1475	Biomass
R1480	Biomass
R0986	C
R0048	E
R0299	E
R0345	E
R0402	E
R0830	E
R0833	E
R0894	E
R0984	E
R1041	E
R1078	E
R1206	E
R1237	E
R1221	EF
R0290	F
R0405	F
R0406	F
R0483	F
R0486	F
R0490	F
R0499	F
R0570	F
R0584	F
R0625	F
R0687	F
R1000	F
R1075	F
R1076	F
R1165	F
R1167	F
R1547	F
R1548	F
R1551	F
R1552	F
R1555	F
R1590	F
R0146	G
R0441	G
R0939	G
R1032	G
R1531	G
R1532	G
R0387	GK
R0393	H
R0591	H
R0597	H
R0647	H
R0648	H
R0649	H
R0764	H
R1086	H
R1101	H
R1210	H
R1289	H
R1533	H
R1536	H
R1082	I
R1209	K
R1227	M
R0383	R
R0583	R
